"_id","updated_at","environment","time","layername","mission","product"
"ObjectID(""6940235a520d96b5a7873bd9"")",2025-12-15 16:03:25.386,OPE,2025-12-14 20:10:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bda"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:12:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bdb"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:51:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bdc"")",2025-12-15 16:03:25.386,OPE,2025-12-14 22:53:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bdd"")",2025-12-15 16:03:25.386,OPE,2025-12-14 23:32:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bde"")",2025-12-15 16:03:25.386,OPE,2025-12-15 00:34:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bdf"")",2025-12-15 16:03:25.386,OPE,2025-12-15 01:13:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be0"")",2025-12-15 16:03:25.386,OPE,2025-12-15 02:15:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be1"")",2025-12-15 16:03:25.386,OPE,2025-12-15 02:54:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be2"")",2025-12-15 16:03:25.386,OPE,2025-12-15 03:56:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be3"")",2025-12-15 16:03:25.386,OPE,2025-12-15 04:35:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be4"")",2025-12-15 16:03:25.386,OPE,2025-12-15 05:37:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be5"")",2025-12-15 16:03:25.386,OPE,2025-12-15 06:16:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be6"")",2025-12-15 16:03:25.386,OPE,2025-12-15 07:18:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be7"")",2025-12-15 16:03:25.386,OPE,2025-12-15 07:57:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be8"")",2025-12-15 16:03:25.386,OPE,2025-12-15 08:59:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873be9"")",2025-12-15 16:03:25.386,OPE,2025-12-15 09:38:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bea"")",2025-12-15 16:03:25.386,OPE,2025-12-15 10:40:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873beb"")",2025-12-15 16:03:25.386,OPE,2025-12-15 11:19:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bec"")",2025-12-15 16:03:25.386,OPE,2025-12-15 12:21:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873bed"")",2025-12-15 16:03:25.386,OPE,2025-12-15 13:00:00,copernicus:daily_sentinel3ab_olci_l2_chl_fullres,copernicus,daily_sentinel3ab_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873c96"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:13:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c97"")",2025-12-15 16:03:25.386,OPE,2025-12-14 17:16:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
